Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
PC Items,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"Allowances for supply of PC Items
"
Bathroom,PC Items,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Bath 1 Vanity,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,2500,250,2750,Ea,0,20,0,0,0,0,0,
Bath 1 Vanity Basin,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,Ea,0,20,0,0,0,0,0,
Bath 1 Vanity Taps,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 1 Vanity Waste,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,40,4,44,Ea,0,20,0,0,0,0,0,
Bath 1 Shower Mixer,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 1 Shower Head,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 1 Shower Arm,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 1 Shower Rail,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,700,70,770,Ea,0,20,0,0,0,0,0,
Bath 1 Handheld Shower Head,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,Ea,0,20,0,0,0,0,0,
Bath 1 Inset Bath,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,400,40,440,Ea,0,20,0,0,0,0,0,
Bath 1 Freestanding Bath,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,1800,180,1980,Ea,0,20,0,0,0,0,0,
Bath 1 Bath Taps,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 1 Bath Waste,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,80,8,88,Ea,0,20,0,0,0,0,0,
Bath 1 Heated Towel Rail,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,900,90,990,Ea,0,20,0,0,0,0,0,
Bath 1 Towel Rail,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,150,15,165,Ea,0,20,0,0,0,0,0,
Bath 1 Robe Hooks,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,40,4,44,Ea,0,20,0,0,0,0,0,
Bath 1 Hand Towel Holder,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,60,6,66,Ea,0,20,0,0,0,0,0,
Bath 1 Shaving Cabinet,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,600,60,660,Ea,0,20,0,0,0,0,0,
Bath 1 Mirror,Bathroom,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,Ea,0,20,0,0,0,0,0,
Ensuite,PC Items,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Ensuite Vanity,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,2500,250,2750,Ea,0,20,0,0,0,0,0,
Ensuite Vanity Basin,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,Ea,0,20,0,0,0,0,0,
Ensuite Vanity Taps,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Ensuite Vanity Waste,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,40,4,44,Ea,0,20,0,0,0,0,0,
Ensuite Shower Mixer,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Ensuite Shower Head,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Ensuite Shower Arm,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Ensuite Shower Rail,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,700,70,770,Ea,0,20,0,0,0,0,0,
Ensuite Handheld Shower Head,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,Ea,0,20,0,0,0,0,0,
Ensuite Inset Bath,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,400,40,440,Ea,0,20,0,0,0,0,0,
Ensuite Freestanding Bath,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,1800,180,1980,Ea,0,20,0,0,0,0,0,
Ensuite Bath Taps,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Ensuite Bath Waste,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,80,8,88,Ea,0,20,0,0,0,0,0,
Ensuite Heated Towel Rail,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,1000,100,1100,Ea,0,20,0,0,0,0,0,
Ensuite Towel Rail,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,150,15,165,Ea,0,20,0,0,0,0,0,
Ensuite Robe Hooks,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,30,3,33,Ea,0,20,0,0,0,0,0,
