Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Certification Fees,Exclusions,MATERIAL,Complete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Postage/delivery fees for materials & PC items.,Exclusions,MATERIAL,Complete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Terms,,GROUP,Complete,,,,,,,,0,0,0,,,,0,
"Tile installation pricing is for standard tiles only. If tiles installed are decorative, mosaic, subway or the like, their installation will incur added cost to the labour component.",Terms,MATERIAL,Complete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
"Everything that is not mentioned in this quote, is not included.",Terms,MATERIAL,Complete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Front Balcony,Terms,FEE,Complete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,"No allowance for rectification work to front balcony
 Waiting engineers report to determine works required to front balcony"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,
Totals,,,,,,,,,,,,,,,,,,
Builder Fixed Cost,,169706.53,,,,,,,,,,,,,,,,
Allowances,,118190,,,,,,,,,,,,,,,,
Overheads,,0,,,,,,,,,,,,,,,,
Insurances,,0,,,,,,,,,,,,,,,,
Markup,,57906.22,,,,,,,,,,,,,,,,
Total Tax,,34580.28,,,,,,,,,,,,,,,,
Adjust,,0,,,,,,,,,,,,,,,,
Total,,380383.03,,,,,,,,,,,,,,,,
