Item Number,Category,Category Cost Code,Costing Item,Quantity,UOM,Cost (ex.),Cost Type,Cost Code,Markup (%),Allowance Type (PC/PS),GST Free (Yes/No),Note,SKU
20.2.4,PAINTING,PAINTING,Wet Area Ceilings,0,m2,0,Paint Materials,,,,,,
20.2.5,PAINTING,PAINTING,Skirting,0,lm,0,Paint Materials,,,,,,
20.2.6,PAINTING,PAINTING,Architrave,0,lm,0,Paint Materials,,,,,,
20.2.7,PAINTING,PAINTING,Door Frames,0,qty,0,Paint Materials,,,,,,
20.2.8,PAINTING,PAINTING,Doors,0,qty,0,Paint Materials,,,,,,
20.2.9,PAINTING,PAINTING,Robe Frames,0,qty,0,Paint Materials,,,,,,
20.2.10,PAINTING,PAINTING,Robe Doors,0,qty,0,Paint Materials,,,,,,
20.2.11,PAINTING,PAINTING,Internals of robes,0,qty,0,Paint Materials,,,,,,
20.2.12,PAINTING,PAINTING,Barn doorss,0,qty,0,Paint Materials,,,,,,
20.2.13,PAINTING,PAINTING,Window Frames,0,qty,0,Paint Materials,,,,,,
20.2.14,PAINTING,PAINTING,Window Sashes,0,qty,0,Paint Materials,,,,,,
20.2.15,PAINTING,PAINTING,Door Frames,0,qty,0,Paint Materials,,,,,,
20.2.16,PAINTING,PAINTING,Door Sashes,0,qty,0,Paint Materials,,,,,,
20.2.17,PAINTING,PAINTING,Stairs - Stringers/risers,0,qty,0,Paint Materials,,,,,,
20.2.18,PAINTING,PAINTING,Balustrade,0,lm,0,Paint Materials,,,,,,
20.2.19,PAINTING,PAINTING,Handrail,0,qty,0,Paint Materials,,,,,,
20.2.20,PAINTING,PAINTING,Feature timber slats,0,qty,0,Paint Materials,,,,,,
20.2.21,PAINTING,PAINTING,MISC,0,qty,0,Paint Materials,,,,,,
20.3,PAINTING,PAINTING,External Painting Labour,1,qty,0,Paint Labour,,0,,No,,
20.3.1,PAINTING,PAINTING,Cladding Type 1,0,m2,0,Paint Labour,,,,,,
20.3.2,PAINTING,PAINTING,Cladding Type 2,0,m2,0,Paint Labour,,,,,,
20.3.3,PAINTING,PAINTING,Render,0,m2,0,Paint Labour,,,,,,
20.3.4,PAINTING,PAINTING,Brickwork/Blockwork,0,m2,0,Paint Labour,,,,,,
20.3.5,PAINTING,PAINTING,Soffits,0,m2,0,Paint Labour,,,,,,
20.3.6,PAINTING,PAINTING,Gables,0,m2,0,Paint Labour,,,,,,
20.3.7,PAINTING,PAINTING,Balustrade,0,lm,0,Paint Labour,,,,,,
20.3.8,PAINTING,PAINTING,Window/Door Frames,0,qty,0,Paint Labour,,,,,,
20.3.9,PAINTING,PAINTING,Patio Ceilings,0,m2,0,Paint Labour,,,,,,
20.3.10,PAINTING,PAINTING,External Stairs,0,qty,0,Paint Labour,,,,,,
20.3.11,PAINTING,PAINTING,Carport Ceilings,0,m2,0,Paint Labour,,,,,,
20.3.12,PAINTING,PAINTING,Posts,0,lm,0,Paint Labour,,,,,,
20.3.13,PAINTING,PAINTING,Decking,0,m2,0,Paint Labour,,,,,,
20.3.14,PAINTING,PAINTING,Rafters,0,qty,0,Paint Labour,,,,,,
20.4,PAINTING,PAINTING,External Painting Materials,1.1,qty,0,Paint Labour,,0,,No,,
20.4.1,PAINTING,PAINTING,Cladding Type 1,0,m2,0,Paint Materials,,,,,,
20.4.2,PAINTING,PAINTING,Cladding Type 2,0,m2,0,Paint Materials,,,,,,
20.4.3,PAINTING,PAINTING,Render,0,m2,0,Paint Materials,,,,,,
20.4.4,PAINTING,PAINTING,Brickwork/Blockwork,0,m2,0,Paint Materials,,,,,,
20.4.5,PAINTING,PAINTING,Soffits,0,m2,0,Paint Materials,,,,,,
20.4.6,PAINTING,PAINTING,Gables,0,m2,0,Paint Materials,,,,,,
20.4.7,PAINTING,PAINTING,Balustrade,0,lm,0,Paint Materials,,,,,,
20.4.8,PAINTING,PAINTING,Window/Door Frames,0,qty,0,Paint Materials,,,,,,
20.4.9,PAINTING,PAINTING,Patio Ceilings,0,m2,0,Paint Materials,,,,,,
20.4.10,PAINTING,PAINTING,External Stairs,0,qty,0,Paint Materials,,,,,,
20.4.11,PAINTING,PAINTING,Carport Ceilings,0,m2,0,Paint Materials,,,,,,
20.4.12,PAINTING,PAINTING,Posts,0,qty,0,Paint Materials,,,,,,
20.4.13,PAINTING,PAINTING,Decking,0,qty,0,Paint Materials,,,,,,
20.4.14,PAINTING,PAINTING,Rafters,0,qty,0,Paint Materials,,,,,,
21.1,GLAZING,GLAZING,Bathroom Shower Screen,0,lm,0,Sub Contractor,,0,,No,,
21.2,GLAZING,GLAZING,Ensuite Shower Screen,0,lm,0,Sub Contractor,,0,,No,,
21.3,GLAZING,GLAZING,Pool Fencing,0,qty,0,Sub Contractor,,0,,No,,
21.4,GLAZING,GLAZING,Void Balustrade,0,qty,0,Sub Contractor,,0,,No,,
21.5,GLAZING,GLAZING,Stairs Balustrade,0,qty,0,Sub Contractor,,0,,No,,
22.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,"Disconnect all existing fixtures, capping of existing",0,qty,0,Sub Contractor,,0,,No,,
22.1.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Labour,0,Hr,0,Sub Contractor,,,,,,
22.1.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Materials,0,qty,0,Sub Contractor,,,,,,
22.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,CCTV locating and marking of existing drains,0,qty,0,Sub Contractor,,0,,No,(allowed 1.5 hrs onsite plus use of camera and locator),
22.3,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Drainage,0,qty,0,Sub Contractor,,0,,No,,
22.3.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Laundry tub,0,qty,0,Sub Contractor,,,,,,
22.3.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,WC,0,qty,0,Sub Contractor,,,,,,
22.3.3,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Basins,0,qty,0,Sub Contractor,,,,,,
22.3.4,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Kitchen,0,qty,0,Sub Contractor,,,,,,
22.3.5,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Showers,0,qty,0,Sub Contractor,,,,,,
22.3.6,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath,0,qty,0,Sub Contractor,,,,,,
22.3.7,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Floor wastes,0,qty,0,Sub Contractor,,,,,,
22.4,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Water Services,0,qty,0,Sub Contractor,,0,,No,,
22.4.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Laundry tub,0,lm,0,Sub Contractor,,,,,,
22.4.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,WC,0,qty,0,Sub Contractor,,,,,,
22.4.3,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Basins,0,qty,0,Sub Contractor,,,,,,
22.4.4,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Kitchen,0,qty,0,Sub Contractor,,,,,,
22.4.5,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Showers,0,qty,0,Sub Contractor,,,,,,
22.4.6,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath,0,qty,0,Sub Contractor,,,,,,
22.4.7,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Fridge,0,qty,0,Sub Contractor,,,,,,
22.4.8,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Garden Hose point,0,qty,0,Sub Contractor,,,,,,
22.4.9,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Hot water unit,0,qty,0,Sub Contractor,,,,,,
22.5,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bathroom Tapware & Fixtures,0,qty,0,Supplier,,0,,No,,
22.5.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath,0,lm,0,Supplier,,,,,,
22.5.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath MIxer,0,qty,0,Supplier,,,,,,
22.5.3,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath Spout,0,qty,0,Supplier,,,,,,
22.5.4,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath Flexi Waste,0,qty,0,Supplier,,,,,,
22.5.5,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Shower Mixer,0,qty,0,Supplier,,,,,,
22.5.6,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Shower head/rail,0,qty,0,Supplier,,,,,,
22.5.7,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Basin Mixer,0,qty,0,Supplier,,,,,,
22.5.8,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Basin Spout,0,qty,0,Supplier,,,,,,
22.5.9,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Basin,0,qty,0,Supplier,,,,,,
22.5.10,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Pop up waste,0,qty,0,Supplier,,,,,,
22.5.11,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Robe Hook,0,qty,0,Supplier,,,,,,
22.5.12,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Toilet roll holder,0,qty,0,Supplier,,,,,,
22.5.13,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Towel rail,0,qty,0,Supplier,,,,,,
22.5.14,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Hand towel holder,0,qty,0,Supplier,,,,,,
22.6,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Hot Water System,0,qty,0,Sub Contractor,,0,,No,,
22.7,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Ensuite Tapware & Fixtures,0,qty,0,Supplier,,0,,No,,
22.7.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath,0,lm,0,Supplier,,,,,,
22.7.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath MIxer,0,qty,0,Supplier,,,,,,
22.7.3,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath Spout,0,qty,0,Supplier,,,,,,
22.7.4,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Bath Flexi Waste,0,qty,0,Supplier,,,,,,
22.7.5,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Shower Mixer,0,qty,0,Supplier,,,,,,
22.7.6,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Shower head/rail,0,qty,0,Supplier,,,,,,
22.7.7,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Basin Mixer,0,qty,0,Supplier,,,,,,
22.7.8,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Basin Spout,0,qty,0,Supplier,,,,,,
22.7.9,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Basin,0,qty,0,Supplier,,,,,,
22.7.10,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Pop up waste,0,qty,0,Supplier,,,,,,
22.7.11,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Robe Hook,0,qty,0,Supplier,,,,,,
22.7.12,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Toilet roll holder,0,qty,0,Supplier,,,,,,
22.7.13,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Towel rail,0,qty,0,Supplier,,,,,,
22.7.14,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Hand towel holder,0,qty,0,Supplier,,,,,,
22.8,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Laundry Tapware & Fixtures,0,qty,0,Supplier,,0,,No,,
22.8.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Laundry Sink/Tub,0,lm,0,Supplier,,,,,,
22.8.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Laundry Mixer,0,qty,0,Supplier,,,,,,
22.8.3,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Laundry Waste,0,qty,0,Supplier,,,,,,
22.8.4,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Washing Machine stops,0,qty,0,Supplier,,,,,,
22.9,HYDRAULIC SERVICES,HYDRAULIC SERVICES,WC/Powder Room Tapware & Fixtures,0,qty,0,Supplier,,0,,No,,
22.9.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Trapped Toilet,0,qty,0,Supplier,,,,,,
22.9.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Colour Matched Flush Buttons,0,qty,0,Supplier,,,,,,
22.9.3,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Toilet Roll holder,0,qty,0,Supplier,,,,,,
22.9.4,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Wall Basin,0,qty,0,Supplier,,,,,,
22.9.5,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Mixer,0,qty,0,Supplier,,,,,,
22.9.6,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Pop up waste,0,qty,0,Supplier,,,,,,
22.10,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Butler Pantry Tapware & Fixtures,0,qty,0,Supplier,,0,,No,,
22.10.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Sink,0,lm,0,,,,,,,
22.10.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Mixer,0,qty,0,Labour,,,,,,
22.10.3,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Waste,0,qty,0,Labour,,,,,,
22.11,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Pallet Delivery for Tapware & Fixtures,0,qty,120,Supplier,,0,,No,,
22.12,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Kitchen Tapware & Fixtures,0,qty,0,Supplier,,0,,No,,
22.12.1,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Sink,0,lm,0,,,,,,,
22.12.2,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Mixer,0,qty,0,Labour,,,,,,
22.12.3,HYDRAULIC SERVICES,HYDRAULIC SERVICES,Waste,0,qty,0,Labour,,,,,,
23.1,ELECTRICAL,ELECTRICAL,Electrical Internal Take off,0,qty,0,Sub Contractor,,0,,No,,
23.1.1,ELECTRICAL,ELECTRICAL,GPO,0,qty,0,Sub Contractor,,,,,,
23.1.2,ELECTRICAL,ELECTRICAL,GPO with Switch,0,qty,0,Sub Contractor,,,,,,
23.1.3,ELECTRICAL,ELECTRICAL,GPO Single,0,qty,0,Sub Contractor,,,,,,
23.1.4,ELECTRICAL,ELECTRICAL,GPO with USB,0,qty,0,Sub Contractor,,,,,,
23.1.5,ELECTRICAL,ELECTRICAL,Pendant lvl 1,0,qty,0,Sub Contractor,,,,,,
23.1.6,ELECTRICAL,ELECTRICAL,Pendant lvl 2,0,qty,0,Sub Contractor,,,,,,
23.1.7,ELECTRICAL,ELECTRICAL,Downlight Lvl 1,0,qty,0,Sub Contractor,,,,,,
23.1.8,ELECTRICAL,ELECTRICAL,Downlight Lvl 2,0,qty,0,Sub Contractor,,,,,,
23.1.9,ELECTRICAL,ELECTRICAL,Downlight Lvl 3,0,qty,0,Sub Contractor,,,,,,
23.1.10,ELECTRICAL,ELECTRICAL,Downlight Piviot,0,qty,0,Sub Contractor,,,,,,
23.1.11,ELECTRICAL,ELECTRICAL,Fan Lvl 1,0,qty,0,Sub Contractor,,,,,,
23.1.12,ELECTRICAL,ELECTRICAL,Fan Lvl 2,0,qty,0,Sub Contractor,,,,,,
23.1.13,ELECTRICAL,ELECTRICAL,Fan Light Lvl 1,0,qty,0,Sub Contractor,,,,,,
23.1.14,ELECTRICAL,ELECTRICAL,Fan Light Lvl 2,0,qty,0,Sub Contractor,,,,,,
23.1.15,ELECTRICAL,ELECTRICAL,Exhaust fan,0,qty,0,Sub Contractor,,,,,,
23.1.16,ELECTRICAL,ELECTRICAL,IXL Lvl 1,0,qty,0,Sub Contractor,,,,,,
23.1.17,ELECTRICAL,ELECTRICAL,IXL Lvl 2,0,qty,0,Sub Contractor,,,,,,
23.1.18,ELECTRICAL,ELECTRICAL,Additions distance to duct per 6m,0,qty,0,Sub Contractor,,,,,,
23.1.19,ELECTRICAL,ELECTRICAL,Heated towel Rail,0,qty,0,Sub Contractor,,,,,,
23.1.20,ELECTRICAL,ELECTRICAL,LED Mirror,0,qty,0,Sub Contractor,,,,,,
23.1.21,ELECTRICAL,ELECTRICAL,Data point,0,qty,0,Sub Contractor,,,,,,
23.1.22,ELECTRICAL,ELECTRICAL,TV point,0,qty,0,Sub Contractor,,,,,,
23.1.23,ELECTRICAL,ELECTRICAL,Cable duct for TV,0,qty,0,Sub Contractor,,,,,,
23.1.24,ELECTRICAL,ELECTRICAL,Switch point,0,qty,0,Sub Contractor,,,,,,
23.1.25,ELECTRICAL,ELECTRICAL,2 way,0,qty,0,Sub Contractor,,,,,,
23.1.26,ELECTRICAL,ELECTRICAL,Dimmer,0,qty,0,Sub Contractor,,,,,,
23.1.27,ELECTRICAL,ELECTRICAL,Intermediate,0,qty,0,Sub Contractor,,,,,,
23.1.28,ELECTRICAL,ELECTRICAL,Smoke alarms,0,qty,0,Sub Contractor,,,,,,
23.2,ELECTRICAL,ELECTRICAL,Electrical External Take off,0,qty,0,Sub Contractor,,0,,No,,
23.2.1,ELECTRICAL,ELECTRICAL,Fan Lvl 1,0,lm,0,Sub Contractor,,,,,,
23.2.2,ELECTRICAL,ELECTRICAL,Fan Lvl 2,0,qty,0,Sub Contractor,,,,,,
23.2.3,ELECTRICAL,ELECTRICAL,Fan Light Lvl 1,0,qty,0,Sub Contractor,,,,,,
23.2.4,ELECTRICAL,ELECTRICAL,Fan Light Lvl 2,0,qty,0,Sub Contractor,,,,,,
23.2.5,ELECTRICAL,ELECTRICAL,WP GPO,0,qty,0,Sub Contractor,,,,,,
23.2.6,ELECTRICAL,ELECTRICAL,WP GPO Single,0,qty,0,Sub Contractor,,,,,,
23.2.7,ELECTRICAL,ELECTRICAL,Downlight Lvl 1,0,qty,0,Sub Contractor,,,,,,
23.2.8,ELECTRICAL,ELECTRICAL,Downlight Lvl 2,0,qty,0,Sub Contractor,,,,,,
23.2.9,ELECTRICAL,ELECTRICAL,12v Downlight,0,qty,0,Sub Contractor,,,,,,
23.2.10,ELECTRICAL,ELECTRICAL,Flood lights no sensor,0,qty,0,Sub Contractor,,,,,,
23.2.11,ELECTRICAL,ELECTRICAL,Flood light with sensor,0,qty,0,Sub Contractor,,,,,,
23.3,ELECTRICAL,ELECTRICAL,Electrical Disconnect,0,qty,0,Sub Contractor,,0,,No,,
23.4,ELECTRICAL,ELECTRICAL,Electrical Underslab,0,qty,0,Sub Contractor,,0,,No,,
23.5,ELECTRICAL,ELECTRICAL,Rough Inn,0,qty,0,,,0,,No,,
23.6,ELECTRICAL,ELECTRICAL,Electrical Make Safe before rough inn,0,qty,0,,,0,,No,,
23.7,ELECTRICAL,ELECTRICAL,Cutt out,0,qty,0,,,0,,No,,
23.8,ELECTRICAL,ELECTRICAL,Final Fit off,0,qty,0,,,0,,No,,
24.1,MECHANICAL SERVICES,MECHANICAL SERVICES,Split Systems,0,qty,0,Sub Contractor,,0,,No,,
24.2,MECHANICAL SERVICES,MECHANICAL SERVICES,Ducted AC,0,qty,0,Sub Contractor,,0,,No,,
24.3,MECHANICAL SERVICES,MECHANICAL SERVICES,Exhaust/Extraction Fans,0,qty,0,Sub Contractor,,0,,No,,
25.1,LANDSCAPING,LANDSCAPING,Turf,0,qty,0,Sub Contractor,,0,,No,,
25.2,LANDSCAPING,LANDSCAPING,Garden Beds,0,lm,0,Sub Contractor,,0,,No,,
25.3,LANDSCAPING,LANDSCAPING,Steps,0,qty,0,Sub Contractor,,0,,No,,
25.4,LANDSCAPING,LANDSCAPING,Retaining walls,0,qty,0,Sub Contractor,,0,,No,,
26.1,POOL WORKS,POOL WORKS,Pebble Crete,0,qty,0,,,0,,No,,
26.2,POOL WORKS,POOL WORKS,Pool Dig,0,lm,0,,,0,,No,,
26.3,POOL WORKS,POOL WORKS,Pool Engineering,0,qty,0,,,0,,No,,
26.4,POOL WORKS,POOL WORKS,Pool steel and pour shell,0,qty,0,,,0,,No,,
26.5,POOL WORKS,POOL WORKS,Pool Coping,0,qty,0,,,0,,No,,
26.6,POOL WORKS,POOL WORKS,Pool Fencing,0,qty,0,,,0,,No,,
